season,episode,title,number_in_series,original_air_date
5,13,Homer and Apu,94,1994-02-10T00:00:00+02:00
5,14,Lisa vs. Malibu Stacy,95,1994-02-17T00:00:00+02:00
5,15,Deep Space Homer,96,1994-02-24T00:00:00+02:00
5,16,Homer Loves Flanders,97,1994-03-17T00:00:00+02:00
5,17,Bart Gets an Elephant,98,1994-03-31T00:00:00+02:00
5,18,Burns' Heir,99,1994-04-14T00:00:00+02:00
5,19,Sweet Seymour Skinner's Baadasssss Song,100,1994-04-28T00:00:00+02:00
5,20,The Boy Who Knew Too Much,101,1994-05-05T00:00:00+02:00
5,21,Lady Bouvier's Lover,102,1994-05-12T00:00:00+02:00
5,22,Secrets of a Successful Marriage,103,1994-05-19T00:00:00+02:00
6,1,Bart of Darkness,104,1994-09-04T00:00:00+02:00
6,2,Lisa's Rival,105,1994-09-11T00:00:00+02:00
6,3,Another Simpsons Clip Show,106,1994-09-25T00:00:00+02:00
6,4,Itchy & Scratchy Land,107,1994-10-02T00:00:00+02:00
6,5,Sideshow Bob Roberts,108,1994-10-09T00:00:00+02:00
6,6,Treehouse of Horror V,109,1994-10-30T00:00:00+02:00
6,7,Bart's Girlfriend,110,1994-11-06T00:00:00+02:00
6,8,Lisa on Ice,111,1994-11-13T00:00:00+02:00
6,9,Homer Badman,112,1994-11-27T00:00:00+02:00
6,10,Grampa vs. Sexual Inadequacy,113,1994-12-04T00:00:00+02:00
6,11,Fear of Flying,114,1994-12-18T00:00:00+02:00
6,12,Homer the Great,115,1995-01-08T00:00:00+02:00
6,13,And Maggie Makes Three,116,1995-01-22T00:00:00+02:00
6,14,Bart's Comet,117,1995-02-05T00:00:00+02:00
6,15,Homie the Clown,118,1995-02-12T00:00:00+02:00
6,16,Bart vs. Australia,119,1995-02-19T00:00:00+02:00
6,17,Homer vs. Patty and Selma,120,1995-02-26T00:00:00+02:00
6,18,A Star Is Burns,121,1995-03-05T00:00:00+02:00
6,19,Lisa's Wedding,122,1995-03-19T00:00:00+02:00
6,20,Two Dozen and One Greyhounds,123,1995-04-09T00:00:00+02:00
6,21,The PTA Disbands,124,1995-04-16T00:00:00+02:00
6,22,'Round Springfield,125,1995-04-30T00:00:00+02:00
6,23,The Springfield Connection,126,1995-05-07T00:00:00+02:00
6,24,Lemon of Troy,127,1995-05-14T00:00:00+02:00
6,25,Who Shot Mr. Burns? (Part One),128,1995-05-21T00:00:00+02:00
7,1,Who Shot Mr. Burns? (Part Two),129,1995-09-17T00:00:00+02:00
7,2,Radioactive Man,130,1995-09-24T00:00:00+02:00
7,3,Home Sweet Homediddly-Dum-Doodily,131,1995-10-01T00:00:00+02:00
7,4,Bart Sells His Soul,132,1995-10-08T00:00:00+02:00
7,5,Lisa the Vegetarian,133,1995-10-15T00:00:00+02:00
7,6,Treehouse of Horror VI,134,1995-10-29T00:00:00+02:00
7,7,King-Size Homer,135,1995-11-05T00:00:00+02:00
7,8,Mother Simpson,136,1995-11-19T00:00:00+02:00
7,9,Sideshow Bob's Last Gleaming,137,1995-11-26T00:00:00+02:00
7,10,The Simpsons 138th Episode Spectacular,138,1995-12-03T00:00:00+02:00
7,11,Marge Be Not Proud,139,1995-12-17T00:00:00+02:00
7,12,Team Homer,140,1996-01-07T00:00:00+02:00
7,13,Two Bad Neighbors,141,1996-01-14T00:00:00+02:00
7,14,Scenes from the Class Struggle in Springfield,142,1996-02-04T00:00:00+02:00
7,15,Bart the Fink,143,1996-02-11T00:00:00+02:00
7,16,Lisa the Iconoclast,144,1996-02-18T00:00:00+02:00
7,17,Homer the Smithers,145,1996-02-25T00:00:00+02:00
7,18,The Day the Violence Died,146,1996-03-17T00:00:00+02:00
7,19,A Fish Called Selma,147,1996-03-24T00:00:00+02:00
7,20,Bart on the Road,148,1996-03-31T00:00:00+02:00
7,21,22 Short Films About Springfield,149,1996-04-14T00:00:00+02:00
7,22,"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""",150,1996-04-28T00:00:00+02:00
7,23,Much Apu About Nothing,151,1996-05-05T00:00:00+02:00
7,24,Homerpalooza,152,1996-05-19T00:00:00+02:00
7,25,Summer of 4 Ft. 2,153,1996-05-19T00:00:00+02:00
8,1,Treehouse of Horror VII,154,1996-10-27T00:00:00+02:00
